name,official_url,emails,phones,linkedin,facebook,whatsapp,other_socials,forms,people_pages,sources,errors
Credo Ventures,https://www.credoventures.com/portfolio,,,,,,,,https://www.credoventures.com/team,https://www.credoventures.com/portfolio,https://www.credoventures.com/kontakt: HTTP Error 404: Not Found | https://www.credoventures.com/contact: HTTP Error 404: Not Found | https://www.credoventures.com/kontakt/: HTTP Error 404: Not Found
Kaya VC,https://www.kaya.vc/,contact@kaya.vc,,https://www.linkedin.com/company/kayavc | https://www.linkedin.com/in/jakubjurovych/ | https://www.linkedin.com/in/julie-hu%C4%8D%C3%ADkov%C3%A1-b276b16b/ | https://www.linkedin.com/in/jurajmasar/ | https://www.linkedin.com/in/karelzheng/ | https://www.linkedin.com/in/klaudia-kristofova/ | https://www.linkedin.com/in/lifrordi/ | https://www.linkedin.com/in/michalvalko/ | https://www.linkedin.com/in/mrajcan/ | https://www.linkedin.com/in/pavelmucha/ | https://www.linkedin.com/in/tomascupr/ | https://www.linkedin.com/in/tomasobrtac/ | https://www.linkedin.com/in/tomaspacinda/ | https://www.linkedin.com/in/vaclav-ryslink/ | https://www.linkedin.com/in/vojtech-tomsu/,,,,https://kayavc.typeform.com/pitchdeck?typeform-source=www.kaya.vc,https://www.kaya.vc/team,https://www.kaya.vc/ | https://www.kaya.vc/team,https://www.kaya.vc/contact: HTTP Error 404: Not Found | https://www.kaya.vc/kontakt: HTTP Error 404: Not Found | https://www.kaya.vc/apply/: HTTP Error 404: Not Found
Presto Ventures,https://www.prestoventures.com/,,,https://www.linkedin.com/company/presto-ventures/posts/?feedView=all,,,,https://www.prestoventures.com/contact,https://www.prestoventures.com/team,https://www.prestoventures.com/,https://www.prestoventures.com/kontakt/: HTTP Error 404: Not Found | https://www.prestoventures.com/kontakt: HTTP Error 404: Not Found | https://www.prestoventures.com/apply: HTTP Error 404: Not Found
Tensor Ventures,https://tensor.ventures/,hello@tensor.ventures | job@tensor.ventures | martin@tensor.ventures | petr@tensor.ventures | roman@tensor.ventures,+420 624 721 550 | +420624721550,https://www.linkedin.com/company/tensor-ventures/ | https://www.linkedin.com/in/hastikdan/ | https://www.linkedin.com/in/jankrabec/ | https://www.linkedin.com/in/jfaflik/ | https://www.linkedin.com/in/katerinasyslova/ | https://www.linkedin.com/in/kordik/ | https://www.linkedin.com/in/krelina/ | https://www.linkedin.com/in/martindrdul/ | https://www.linkedin.com/in/ondrej-lipold-b0867874/ | https://www.linkedin.com/in/petrulvr/ | https://www.linkedin.com/in/romansmola/,,,,,,https://tensor.ventures/,https://tensor.ventures/contact: HTTP Error 404: Not Found | https://tensor.ventures/team: HTTP Error 404: Not Found | https://tensor.ventures/kontakt: HTTP Error 404: Not Found
J&T Ventures,https://www.jtventures.cz/,info@jtventures.cz | media@jtventures.cz | people@jtventures.cz,+420 604 333 320,https://www.linkedin.com/company/j&t-ventures/,,,https://www.crunchbase.com/organization/j-t-ventures,,,https://www.jtventures.cz/ | https://www.jtventures.cz/portfolio?models=B2B | https://www.jtventures.cz/portfolio?models=B2C,https://www.jtventures.cz/team/: HTTP Error 404: Not Found
Reflex Capital,https://www.reflexcapital.com/,info@reflexcapital.com,+420 603 194 892,https://www.linkedin.com/in/eduard-mika-bbb42/ | https://www.linkedin.com/in/josef-chvojka-07618023/ | https://www.linkedin.com/in/michaltaborsky/ | https://www.linkedin.com/in/ondrej-fryc-b4873/ | https://www.linkedin.com/in/roman-horacek,,,https://twitter.com/ceeetailer,https://www.reflexcapital.com/contact/ | https://www.reflexcapital.com/cs/contact/,https://cloud7.news/hosting/webnode-becomes-a-part-of-team-blue/ | https://www.reflexcapital.com/cs/team/ | https://www.reflexcapital.com/team/,https://www.reflexcapital.com/ | https://www.reflexcapital.com/contact/ | https://www.reflexcapital.com/portfolio/ | https://www.reflexcapital.com/team/,
DEPO Ventures,https://www.depoventures.com/,petr.sima@depoventures.cz | team@depoventures.cz,,https://www.linkedin.com/company/depo-ventures/,,,https://twitter.com/DepoVentures,https://depoventures.com/contact | https://depoventures.com/toggle-contact-action?type=1 | https://depoventures.com/toggle-contact-action?type=3,https://depoventures.com/about-depo | https://depoventures.sharepoint.com/:b:/s/Team/ESJCxI6zBYJOnqf4pXLxOfYBc8bgtP2l_vYHhjKaVe9aRQ?e=3U8ZGn | https://depoventures.sharepoint.com/:f:/s/Team/EkF4Gb7eYgdMh2SH-_EwuwEBavNo5TYLcOziPmiCGRyD5A?e=hjyX8r | https://depoventures.sharepoint.com/:f:/s/Team/EqW0vkE7wv9MiREOMFSO1KMBlqJS0Q5_Z3ZL2_5zwDA7mg?e=xWe4ha,https://depoventures.com/ | https://depoventures.com/about-depo | https://depoventures.com/contact | https://depoventures.com/kontakt,https://depoventures.com/team/: HTTP Error 404: Not Found
Lighthouse Ventures,https://lhv.vc/,contact@lhv.vc,,https://www.linkedin.com/company/lighthouse-ventures-prague,https://www.facebook.com/lhv.vc,,https://www.crunchbase.com/organization/lighthouse-ventures-6458 | https://www.youtube.com/channel/UCukUuCWhcKSpqU3N_4xd3YA,https://lhv.vc/apply-now/ | https://lhv.vc/partner/pitchbob-io/,https://lhv.vc/about-us/ | https://lhv.vc/team/,https://lhv.vc/ | https://lhv.vc/portfolio/,https://lhv.vc/kontakt/: HTTP Error 404: Not Found | https://lhv.vc/apply: HTTP Error 404: Not Found | https://lhv.vc/apply/: HTTP Error 404: Not Found
Nation 1 VC,https://cvca.cz/nation1/,info@nation1.vc | jaroslav@nation1.vc,,https://www.linkedin.com/company/czech-private-equity-and-venture-capital-association-cvca,,,,,,https://cvca.cz/nation1/,https://cvca.cz/apply: The read operation timed out | https://cvca.cz/apply/: The read operation timed out | https://cvca.cz/o-nas/zpravy-auditora/: The read operation timed out | https://cvca.cz/o-nas/predstavenstvo/: The read operation timed out
Rockaway Ventures,https://www.rockawayventures.com/,contact@rockawayventures.com,,,,,,,,https://www.rockawayventures.com/,https://www.rockawayventures.com/contact: HTTP Error 404: Not Found | https://www.rockawayventures.com/kontakt: HTTP Error 404: Not Found | https://www.rockawayventures.com/team/: HTTP Error 404: Not Found | https://www.rockawayventures.com/apply: HTTP Error 404: Not Found
