name,official_url,emails,phones,linkedin,facebook,whatsapp,other_socials,forms,people_pages,sources,errors
Credo Ventures,https://www.credoventures.com/portfolio,info@credoventures.com,+420211153211,https://www.linkedin.com/company/credo-ventures,,,https://x.com/credoventures,,https://www.credoventures.com/team | https://www.credoventures.com/team/alena-kandakova | https://www.credoventures.com/team/ales-duchac | https://www.credoventures.com/team/guillaume-fournier | https://www.credoventures.com/team/helena-pospichalova | https://www.credoventures.com/team/jakub-krikava | https://www.credoventures.com/team/jan-budinsky | https://www.credoventures.com/team/jan-habermann | https://www.credoventures.com/team/lukas-hurych | https://www.credoventures.com/team/maciej-gnutek | https://www.credoventures.com/team/matej-micek | https://www.credoventures.com/team/max-kolowrat | https://www.credoventures.com/team/michal-cernocky | https://www.credoventures.com/team/ondrej-bartos | https://www.credoventures.com/team/tomas-burian,https://www.credoventures.com/portfolio | https://www.credoventures.com/team,https://www.credoventures.com/contact/: HTTP Error 404: Not Found | https://www.credoventures.com/kontakt/: HTTP Error 404: Not Found | https://www.credoventures.com/apply: HTTP Error 404: Not Found
Kaya VC,https://www.kaya.vc/,contact@kaya.vc,,https://www.linkedin.com/company/kayavc | https://www.linkedin.com/in/jakubjurovych/ | https://www.linkedin.com/in/julie-hu%C4%8D%C3%ADkov%C3%A1-b276b16b/ | https://www.linkedin.com/in/jurajmasar/ | https://www.linkedin.com/in/karelzheng/ | https://www.linkedin.com/in/klaudia-kristofova/ | https://www.linkedin.com/in/lifrordi/ | https://www.linkedin.com/in/michalvalko/ | https://www.linkedin.com/in/mrajcan/ | https://www.linkedin.com/in/pavelmucha/ | https://www.linkedin.com/in/tomascupr/ | https://www.linkedin.com/in/tomasobrtac/ | https://www.linkedin.com/in/tomaspacinda/ | https://www.linkedin.com/in/vaclav-ryslink/ | https://www.linkedin.com/in/vojtech-tomsu/,,,,https://kayavc.typeform.com/pitchdeck?typeform-source=www.kaya.vc,https://www.kaya.vc/team,https://www.kaya.vc/ | https://www.kaya.vc/team,https://www.kaya.vc/apply/: HTTP Error 404: Not Found | https://www.kaya.vc/apply: HTTP Error 404: Not Found | https://www.kaya.vc/contact: HTTP Error 404: Not Found
Presto Ventures,https://www.prestoventures.com/,hello@prestoventures.com,,https://www.linkedin.com/company/presto-ventures/posts/?feedView=all | https://www.linkedin.com/in/edakucera/ | https://www.linkedin.com/in/michalsperka/,,,,https://www.prestoventures.com/contact,https://www.prestoventures.com/team | https://www.prestoventures.com/team/premysl-rubes | https://www.prestoventures.com/team/vojta-rocek,https://www.prestoventures.com/ | https://www.prestoventures.com/contact | https://www.prestoventures.com/team,
Tensor Ventures,https://tensor.ventures/,hello@tensor.ventures | job@tensor.ventures | martin@tensor.ventures | petr@tensor.ventures | roman@tensor.ventures,+420 624 721 550 | +420624721550,https://www.linkedin.com/company/tensor-ventures/ | https://www.linkedin.com/in/hastikdan/ | https://www.linkedin.com/in/jankrabec/ | https://www.linkedin.com/in/jfaflik/ | https://www.linkedin.com/in/katerinasyslova/ | https://www.linkedin.com/in/kordik/ | https://www.linkedin.com/in/krelina/ | https://www.linkedin.com/in/martindrdul/ | https://www.linkedin.com/in/ondrej-lipold-b0867874/ | https://www.linkedin.com/in/petrulvr/ | https://www.linkedin.com/in/romansmola/,,,,,,https://tensor.ventures/,https://tensor.ventures/team: HTTP Error 404: Not Found | https://tensor.ventures/contact: HTTP Error 404: Not Found | https://tensor.ventures/contact/: HTTP Error 404: Not Found | https://tensor.ventures/team/: HTTP Error 404: Not Found
J&T Ventures,https://www.jtventures.cz/,info@jtventures.cz | media@jtventures.cz | people@jtventures.cz,+420 604 333 320,https://www.linkedin.com/company/j&t-ventures/,,,https://www.crunchbase.com/organization/j-t-ventures,,,https://www.jtventures.cz/ | https://www.jtventures.cz/portfolio | https://www.jtventures.cz/tym,https://www.jtventures.cz/contact: HTTP Error 404: Not Found | https://www.jtventures.cz/team/: HTTP Error 404: Not Found
Reflex Capital,https://www.reflexcapital.com/,info@reflexcapital.com,+420 603 194 892,https://www.linkedin.com/in/eduard-mika-bbb42/ | https://www.linkedin.com/in/josef-chvojka-07618023/ | https://www.linkedin.com/in/michaltaborsky/ | https://www.linkedin.com/in/ondrej-fryc-b4873/ | https://www.linkedin.com/in/roman-horacek,,,https://twitter.com/ceeetailer,https://www.reflexcapital.com/contact/,https://cloud7.news/hosting/webnode-becomes-a-part-of-team-blue/ | https://www.reflexcapital.com/cs/team/ | https://www.reflexcapital.com/team/,https://www.reflexcapital.com/ | https://www.reflexcapital.com/team/,https://www.reflexcapital.com/apply: HTTP Error 404: Not Found | https://www.reflexcapital.com/apply/: HTTP Error 404: Not Found
DEPO Ventures,https://www.depoventures.com/,petr.sima@depoventures.cz | team@depoventures.cz,,https://www.linkedin.com/company/depo-ventures/,,,https://twitter.com/DepoVentures,https://depoventures.com/contact | https://depoventures.com/toggle-contact-action?type=1 | https://depoventures.com/toggle-contact-action?type=3,https://depoventures.com/about-depo | https://depoventures.sharepoint.com/:b:/s/Team/ESJCxI6zBYJOnqf4pXLxOfYBc8bgtP2l_vYHhjKaVe9aRQ?e=3U8ZGn | https://depoventures.sharepoint.com/:f:/s/Team/EkF4Gb7eYgdMh2SH-_EwuwEBavNo5TYLcOziPmiCGRyD5A?e=hjyX8r | https://depoventures.sharepoint.com/:f:/s/Team/EqW0vkE7wv9MiREOMFSO1KMBlqJS0Q5_Z3ZL2_5zwDA7mg?e=xWe4ha,https://depoventures.com/ | https://depoventures.com/contact | https://depoventures.com/kontakt,https://depoventures.com/team: HTTP Error 404: Not Found | https://depoventures.com/team/: HTTP Error 404: Not Found
Lighthouse Ventures,https://lhv.vc/,contact@lhv.vc,,https://www.linkedin.com/company/lighthouse-ventures-prague,https://www.facebook.com/lhv.vc,,https://www.crunchbase.com/organization/lighthouse-ventures-6458 | https://www.youtube.com/channel/UCukUuCWhcKSpqU3N_4xd3YA,https://lhv.vc/apply-now/ | https://lhv.vc/partner/pitchbob-io/,https://lhv.vc/about-us/ | https://lhv.vc/project/team-odeon/ | https://lhv.vc/project/team-odeon/?a11y=1 | https://lhv.vc/team/ | https://www.teamodeon.com/,https://lhv.vc/ | https://lhv.vc/portfolio/ | https://lhv.vc/project/team-odeon/,https://lhv.vc/contact/: HTTP Error 404: Not Found
Nation 1 VC,https://cvca.cz/nation1/,info@nation1.vc | jaroslav@nation1.vc,,https://www.linkedin.com/company/czech-private-equity-and-venture-capital-association-cvca,,,,,https://cvca.cz/en/about-us/ | https://cvca.cz/en/about-us/boards/,https://cvca.cz/nation1/ | https://cvca.cz/o-nas/predstavenstvo/ | https://cvca.cz/o-nas/zapisy-z-clenskych-schuzi/ | https://cvca.cz/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.1.6,https://cvca.cz/apply/: HTTP Error 404: Not Found
Rockaway Ventures,https://www.rockawayventures.com/,contact@rockawayventures.com,,https://www.linkedin.com/company/106273995 | https://www.linkedin.com/in/annakreml/ | https://www.linkedin.com/in/chmelar/ | https://www.linkedin.com/in/dusanzabrodsky/ | https://www.linkedin.com/in/jakub-rod-6a5074a5/ | https://www.linkedin.com/in/jakub-ryba-fcca-603a7a81/ | https://www.linkedin.com/in/jakubhavrlant/ | https://www.linkedin.com/in/karin-louženská-9ba25474/ | https://www.linkedin.com/in/katerinah/ | https://www.linkedin.com/in/mahdal/ | https://www.linkedin.com/in/max-palko-39490a146/ | https://www.linkedin.com/in/petr-smid-9b6b47/ | https://www.linkedin.com/in/ronnygottschlich/ | https://www.linkedin.com/in/viktorfischer/,,,https://x.com/KHavrlant | https://x.com/RockawayVC | https://x.com/petrmahdal | https://x.com/viktorfischer | https://x.com/zabrodsk,https://rockawayventures.com/contact/,https://rockawayventures.com/team/,https://rockawayventures.com/ | https://rockawayventures.com/app/themes/rockaway-portfolio/resources/img/skin/green/favicon.ico | https://rockawayventures.com/contact/ | https://rockawayventures.com/team/,https://rockawayventures.com/apply/: HTTP Error 404: Not Found
Pale Fire Capital,https://www.palefirecapital.com/portfolio/,jsme@palefire.com,,https://www.linkedin.com/company/pale-fire-capital?utm_source=webpfc;utm_medium=patickapfc,,,https://twitter.com/PaleFireCapital?utm_source=webpfc;utm_medium=patickapfc,https://palefirecapital.com/en/contact/,https://palefirecapital.com/en/team-en/,https://palefirecapital.com/en/portfolio-en/ | https://palefirecapital.com/en/team-en/ | https://palefirecapital.com/kontakt/ | https://palefirecapital.com/portfolio/,
Miton,https://www.miton.cz/,info@miton.cz | michala.gregorova@miton.cz,,https://www.linkedin.com/company/miton-cz | https://www.linkedin.com/in/davidmlcoch/ | https://www.linkedin.com/in/thavryluk,,,https://twitter.com/MITONCZ | https://twitter.com/intent/follow?screen_name=MITONCZ | https://www.instagram.com/mitonfamily/,,,https://www.miton.cz/,https://www.miton.cz/kontakt: HTTP Error 404: Not Found | https://www.miton.cz/contact/: HTTP Error 404: Not Found | https://www.miton.cz/team/: HTTP Error 404: Not Found | https://www.miton.cz/kontakt/: HTTP Error 404: Not Found
Sandberg Capital,https://www.sandbergcapital.com/,,,,,,,,,,https://www.sandbergcapital.com/: <urlopen error timed out> | https://www.sandbergcapital.com/team: <urlopen error timed out> | https://www.sandbergcapital.com/kontakt: <urlopen error timed out> | https://www.sandbergcapital.com/apply: <urlopen error timed out>
