name,official_url,emails,phones,linkedin,facebook,whatsapp,other_socials,forms,people_pages,sources,errors
Credo Ventures,https://www.credoventures.com/portfolio,,,,,,,,https://www.credoventures.com/team,https://www.credoventures.com/portfolio,https://www.credoventures.com/apply: HTTP Error 404: Not Found | https://www.credoventures.com/contact: HTTP Error 404: Not Found | https://www.credoventures.com/kontakt/: HTTP Error 404: Not Found
Kaya VC,https://www.kaya.vc/,contact@kaya.vc,,https://www.linkedin.com/company/kayavc | https://www.linkedin.com/in/jakubjurovych/ | https://www.linkedin.com/in/julie-hu%C4%8D%C3%ADkov%C3%A1-b276b16b/ | https://www.linkedin.com/in/jurajmasar/ | https://www.linkedin.com/in/karelzheng/ | https://www.linkedin.com/in/klaudia-kristofova/ | https://www.linkedin.com/in/lifrordi/ | https://www.linkedin.com/in/michalvalko/ | https://www.linkedin.com/in/mrajcan/ | https://www.linkedin.com/in/pavelmucha/ | https://www.linkedin.com/in/tomascupr/ | https://www.linkedin.com/in/tomasobrtac/ | https://www.linkedin.com/in/tomaspacinda/ | https://www.linkedin.com/in/vaclav-ryslink/ | https://www.linkedin.com/in/vojtech-tomsu/,,,,https://kayavc.typeform.com/pitchdeck?typeform-source=www.kaya.vc,https://www.kaya.vc/team,https://www.kaya.vc/ | https://www.kaya.vc/team,https://www.kaya.vc/apply: HTTP Error 404: Not Found | https://www.kaya.vc/kontakt/: HTTP Error 404: Not Found | https://www.kaya.vc/kontakt: HTTP Error 404: Not Found
Presto Ventures,https://www.prestoventures.com/,hello@prestoventures.com,,https://www.linkedin.com/company/presto-ventures/posts/?feedView=all | https://www.linkedin.com/in/edakucera/ | https://www.linkedin.com/in/michalsperka/,,,,https://www.prestoventures.com/contact,https://www.prestoventures.com/team | https://www.prestoventures.com/team/premysl-rubes | https://www.prestoventures.com/team/vojta-rocek,https://www.prestoventures.com/ | https://www.prestoventures.com/team,https://www.prestoventures.com/apply: HTTP Error 404: Not Found | https://www.prestoventures.com/kontakt: HTTP Error 404: Not Found
Tensor Ventures,https://tensor.ventures/,hello@tensor.ventures | job@tensor.ventures | martin@tensor.ventures | petr@tensor.ventures | roman@tensor.ventures,+420 624 721 550 | +420624721550,https://www.linkedin.com/company/tensor-ventures/ | https://www.linkedin.com/in/hastikdan/ | https://www.linkedin.com/in/jankrabec/ | https://www.linkedin.com/in/jfaflik/ | https://www.linkedin.com/in/katerinasyslova/ | https://www.linkedin.com/in/kordik/ | https://www.linkedin.com/in/krelina/ | https://www.linkedin.com/in/martindrdul/ | https://www.linkedin.com/in/ondrej-lipold-b0867874/ | https://www.linkedin.com/in/petrulvr/ | https://www.linkedin.com/in/romansmola/,,,,,,https://tensor.ventures/,https://tensor.ventures/contact: HTTP Error 404: Not Found | https://tensor.ventures/team/: HTTP Error 404: Not Found | https://tensor.ventures/team: HTTP Error 404: Not Found | https://tensor.ventures/contact/: HTTP Error 404: Not Found
J&T Ventures,https://www.jtventures.cz/,info@jtventures.cz | media@jtventures.cz | people@jtventures.cz,+420 604 333 320,https://www.linkedin.com/company/j&t-ventures/,,,https://www.crunchbase.com/organization/j-t-ventures,,,https://www.jtventures.cz/ | https://www.jtventures.cz/tym,https://www.jtventures.cz/team: HTTP Error 404: Not Found | https://www.jtventures.cz/apply: HTTP Error 404: Not Found
Reflex Capital,https://www.reflexcapital.com/,info@reflexcapital.com,+420 603 194 892,,,,,https://www.reflexcapital.com/contact/ | https://www.reflexcapital.com/cs/contact/,https://cloud7.news/hosting/webnode-becomes-a-part-of-team-blue/ | https://www.reflexcapital.com/team/,https://www.reflexcapital.com/ | https://www.reflexcapital.com/contact/,https://www.reflexcapital.com/kontakt: HTTP Error 404: Not Found | https://www.reflexcapital.com/apply/: HTTP Error 404: Not Found
DEPO Ventures,https://www.depoventures.com/,petr.sima@depoventures.cz | team@depoventures.cz,,https://www.linkedin.com/company/depo-ventures/,,,https://twitter.com/DepoVentures,https://depoventures.com/contact | https://depoventures.com/toggle-contact-action?type=1 | https://depoventures.com/toggle-contact-action?type=3,https://depoventures.com/about-depo | https://depoventures.sharepoint.com/:b:/s/Team/ESJCxI6zBYJOnqf4pXLxOfYBc8bgtP2l_vYHhjKaVe9aRQ?e=3U8ZGn | https://depoventures.sharepoint.com/:f:/s/Team/EkF4Gb7eYgdMh2SH-_EwuwEBavNo5TYLcOziPmiCGRyD5A?e=hjyX8r | https://depoventures.sharepoint.com/:f:/s/Team/EqW0vkE7wv9MiREOMFSO1KMBlqJS0Q5_Z3ZL2_5zwDA7mg?e=xWe4ha,https://depoventures.com/ | https://depoventures.com/about-depo | https://depoventures.com/contact,https://depoventures.com/apply: HTTP Error 404: Not Found
Lighthouse Ventures,https://lhv.vc/,contact@lhv.vc,,https://cz.linkedin.com/in/damir-%C5%A1poljari%C4%8D-613533117 | https://www.linkedin.com/company/lighthouse-ventures-prague | https://www.linkedin.com/in/michal-zalesak-b026524/ | https://www.linkedin.com/in/oryweihs/ | https://www.linkedin.com/in/ravit-avidor-a03435/ | https://www.linkedin.com/in/robert-reich-534184123/,https://www.facebook.com/lhv.vc,,https://www.crunchbase.com/organization/lighthouse-ventures-6458 | https://www.youtube.com/channel/UCukUuCWhcKSpqU3N_4xd3YA,https://lhv.vc/apply-now/ | https://lhv.vc/partner/pitchbob-io/,https://lhv.vc/about-us/ | https://lhv.vc/team/ | https://lhv.vc/team/?a11y=1,https://lhv.vc/ | https://lhv.vc/team/,https://lhv.vc/apply/: HTTP Error 404: Not Found | https://lhv.vc/apply: HTTP Error 404: Not Found
Nation 1 VC,https://cvca.cz/nation1/,info@nation1.vc | jaroslav@nation1.vc,+420 603 783 503 | +420 733 689 927,https://www.linkedin.com/company/czech-private-equity-and-venture-capital-association-cvca,,,,https://cvca.cz/en/contact/,https://cvca.cz/en/about-us/ | https://cvca.cz/en/about-us/advisory-committees/ | https://cvca.cz/en/about-us/boards/ | https://cvca.cz/en/about-us/cvca-management/ | https://cvca.cz/en/about-us/statutes-and-code-of-ethics/,https://cvca.cz/en/contact/ | https://cvca.cz/nation1/ | https://cvca.cz/o-nas/predstavenstvo/ | https://cvca.cz/o-nas/ucetni-zaverky/,
Rockaway Ventures,https://www.rockawayventures.com/,contact@rockawayventures.com,,https://www.linkedin.com/company/106273995 | https://www.linkedin.com/in/annakreml/ | https://www.linkedin.com/in/chmelar/ | https://www.linkedin.com/in/dusanzabrodsky/ | https://www.linkedin.com/in/jakub-rod-6a5074a5/ | https://www.linkedin.com/in/jakub-ryba-fcca-603a7a81/ | https://www.linkedin.com/in/jakubhavrlant/ | https://www.linkedin.com/in/karin-louženská-9ba25474/ | https://www.linkedin.com/in/katerinah/ | https://www.linkedin.com/in/mahdal/ | https://www.linkedin.com/in/max-palko-39490a146/ | https://www.linkedin.com/in/petr-smid-9b6b47/ | https://www.linkedin.com/in/ronnygottschlich/ | https://www.linkedin.com/in/viktorfischer/,,,https://x.com/KHavrlant | https://x.com/RockawayVC | https://x.com/petrmahdal | https://x.com/viktorfischer | https://x.com/zabrodsk,https://rockawayventures.com/contact/,https://rockawayventures.com/team/,https://rockawayventures.com/ | https://rockawayventures.com/contact/ | https://rockawayventures.com/team/,
